timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
48428,0.0587518,0.115455,0.0597409,flex
48430,0.0610019,0.112326,0.0597409,flex
48433,0.0676271,0.112055,0.0597409,flex
48436,0.0598768,0.112014,0.0597409,flex
48438,0.0595018,0.112011,0.0597409,flex
48441,0.0592518,0.112001,0.0597409,flex
48443,0.0805025,0.112259,0.0597409,flex
48446,0.064502,0.112286,0.0597409,flex
48449,0.0781274,0.112178,0.0597409,flex
48451,0.0850026,0.112457,0.0597409,flex
48454,0.102003,0.113051,0.0597409,flex
48456,0.0685021,0.113115,0.0597409,flex
48459,0.0567517,0.113069,0.0597409,flex
48462,0.0862526,0.111815,0.0597409,flex
48464,0.0615019,0.111836,0.0597409,flex
48467,0.133254,0.11307,0.0597409,flex
48470,0.102503,0.111738,0.0597409,flex
48472,0.241007,0.11563,0.0597409,flex
48475,0.118254,0.114414,0.0597409,flex
48477,0.252383,0.119559,0.0597409,flex
48480,0.16588,0.121538,0.0597409,flex
48483,0.135254,0.122732,0.0597409,flex
48486,0.0773774,0.12203,0.0597409,flex
48488,0.0600018,0.121798,0.0597409,flex
48491,0.0878777,0.12197,0.0597409,flex
48493,0.136254,0.123163,0.0597409,flex
48496,0.196256,0.125882,0.0597409,flex
48499,0.0917528,0.126257,0.0597409,flex
48502,0.0606269,0.124036,0.0597409,flex
48504,0.0626269,0.123724,0.0597409,flex
48507,0.0603768,0.123639,0.0597409,flex
48509,0.0590018,0.123664,0.0597409,flex
48512,0.0593768,0.123643,0.0597409,flex
48515,0.0627519,0.123624,0.0597409,flex
48517,0.0592518,0.123579,0.0597409,flex
48520,0.0592518,0.123525,0.0597409,flex
48523,0.0607519,0.123151,0.0597409,flex
48525,0.0598768,0.12315,0.0597409,flex
48528,0.247633,0.125878,0.0597409,flex
48530,0.0835026,0.126117,0.0597409,flex
48533,0.0732522,0.126286,0.0597409,flex
48536,0.0923778,0.123261,0.0597409,flex
48538,0.0606269,0.122767,0.0597409,flex
48541,0.0593768,0.120521,0.0597409,flex
48544,0.0733772,0.120598,0.0597409,flex
48546,0.0897527,0.120472,0.0597409,flex
48549,0.263133,0.108463,0.0597409,flex
48552,0.066127,0.108498,0.0597409,flex
48554,0.097128,0.109027,0.0597409,flex
48557,0.0706272,0.109169,0.0597409,flex
48560,0.097628,0.109725,0.0597409,flex
48562,0.0577518,0.10969,0.0597409,flex
48565,0.0586268,0.109586,0.0597409,flex
48567,0.0593768,0.10958,0.0597409,flex
48570,0.0578768,0.109563,0.0597409,flex
48573,0.0608769,0.109581,0.0597409,flex
48575,0.0616269,0.109336,0.0597409,flex
48578,0.141754,0.110784,0.0597409,flex
48581,0.262008,0.116292,0.0597409,flex
48583,0.0847526,0.116289,0.0597409,flex
48586,0.231632,0.11995,0.0597409,flex
48589,0.335885,0.128649,0.0597409,flex
48591,0.147129,0.130073,0.0597409,flex
48594,0.065252,0.129828,0.0597409,flex
48597,0.0611269,0.129825,0.0597409,flex
48600,0.0907528,0.129089,0.0597409,flex
48602,0.0626269,0.128578,0.0597409,flex
48605,0.0908778,0.124643,0.0597409,flex
48607,0.0597518,0.123805,0.0597409,flex
48610,0.125254,0.119864,0.0597409,flex
48613,0.066377,0.11792,0.0597409,flex
48616,0.0793774,0.116899,0.0597409,flex
48618,0.0746273,0.116863,0.0597409,flex
48621,0.0746273,0.117032,0.0597409,flex
48623,0.0587518,0.116666,0.0597409,flex
48626,0.0583768,0.11536,0.0597409,flex
48629,0.0587518,0.112279,0.0597409,flex
48631,0.0621269,0.111872,0.0597409,flex
48634,0.0586268,0.111851,0.0597409,flex
48636,0.0595018,0.111817,0.0597409,flex
48639,0.0823775,0.112097,0.0597409,flex
48641,0.233382,0.116557,0.0597409,flex
48644,0.0695021,0.116669,0.0597409,flex
48647,0.0617519,0.116658,0.0597409,flex
48650,0.0633769,0.116701,0.0597409,flex
48652,0.264633,0.122269,0.0597409,flex
48655,0.233132,0.126344,0.0597409,flex
48657,0.0676271,0.126422,0.0597409,flex
48660,0.0622519,0.121793,0.0597409,flex
48663,0.0608769,0.121525,0.0597409,flex
48666,0.0586268,0.121366,0.0597409,flex
48669,0.0608769,0.120968,0.0597409,flex
48671,0.064752,0.12101,0.0597409,flex
48674,0.0603768,0.12102,0.0597409,flex
48676,0.0588768,0.120862,0.0597409,flex
48679,0.0606269,0.120499,0.0597409,flex
48682,0.0617519,0.114941,0.0597409,flex
48685,0.0602518,0.114876,0.0597409,flex
48687,0.0623769,0.114393,0.0597409,flex
48690,0.0590018,0.114261,0.0597409,flex
48693,0.0560017,0.1137,0.0597409,flex
48695,0.097253,0.114237,0.0597409,flex
48699,0.200881,0.117424,0.0597409,flex
48702,0.142629,0.118848,0.0597409,flex
48705,0.246758,0.123595,0.0597409,flex
48708,0.066627,0.123654,0.0597409,flex
48711,0.189006,0.126209,0.0597409,flex
48714,0.0596268,0.124892,0.0597409,flex
48717,0.0572518,0.119543,0.0597409,flex
48720,0.0696271,0.119348,0.0597409,flex
48722,0.0681271,0.115168,0.0597409,flex
48725,0.15613,0.107214,0.0597409,flex
48727,0.0602518,0.10552,0.0597409,flex
48730,0.0635019,0.105499,0.0597409,flex
48733,0.0615019,0.105503,0.0597409,flex
48736,0.0868777,0.105438,0.0597409,flex
48739,0.065252,0.10547,0.0597409,flex
48741,0.0845026,0.105364,0.0597409,flex
48744,0.0583768,0.105348,0.0597409,flex
48747,0.111128,0.105031,0.0597409,flex
48750,0.145004,0.106601,0.0597409,flex
48752,0.0946279,0.10685,0.0597409,flex
48755,0.0602518,0.106668,0.0597409,flex
48757,0.116879,0.107424,0.0597409,flex
48760,0.0692521,0.107549,0.0597409,flex
48763,0.108253,0.108319,0.0597409,flex
48766,0.0786274,0.108571,0.0597409,flex
48769,0.0677521,0.108638,0.0597409,flex
48771,0.0623769,0.10868,0.0597409,flex
48774,0.0625019,0.108714,0.0597409,flex
48777,0.0595018,0.108415,0.0597409,flex
48779,0.0760023,0.103827,0.0597409,flex
48782,0.14863,0.105476,0.0597409,flex
48785,0.0617519,0.105476,0.0597409,flex
48787,0.222757,0.109714,0.0597409,flex
48790,0.104628,0.10419,0.0597409,flex
48793,0.353761,0.110777,0.0597409,flex
48795,0.0696271,0.110802,0.0597409,flex
48798,0.0621269,0.1108,0.0597409,flex
48802,0.065002,0.110847,0.0597409,flex
48804,0.0587518,0.110848,0.0597409,flex
48807,0.0870027,0.111196,0.0597409,flex
48810,0.0807525,0.111406,0.0597409,flex
48812,0.0608769,0.111411,0.0597409,flex
48815,0.107128,0.112128,0.0597409,flex
48818,0.0952529,0.112608,0.0597409,flex
48821,0.0587518,0.112576,0.0597409,flex
48824,0.0612519,0.112587,0.0597409,flex
48826,0.0593768,0.112554,0.0597409,flex
48829,0.063752,0.112606,0.0597409,flex
48832,0.0961279,0.113147,0.0597409,flex
48835,0.0628769,0.112659,0.0597409,flex
48837,0.143129,0.110882,0.0597409,flex
48840,0.0850026,0.109692,0.0597409,flex
48842,0.107878,0.105107,0.0597409,flex
48845,0.0771274,0.10525,0.0597409,flex
48849,0.423263,0.118094,0.0597409,flex
48852,0.0810025,0.118348,0.0597409,flex
48855,0.0611269,0.118387,0.0597409,flex
48858,0.0613769,0.118295,0.0597409,flex
48860,0.0605018,0.118213,0.0597409,flex
48863,0.0897527,0.116824,0.0597409,flex
48867,0.0595018,0.116816,0.0597409,flex
48869,0.064252,0.116824,0.0597409,flex
48872,0.0703772,0.116924,0.0597409,flex
48875,0.097003,0.117084,0.0597409,flex
48877,0.0918778,0.11744,0.0597409,flex
48880,0.0670021,0.117214,0.0597409,flex
48884,0.0586268,0.117217,0.0597409,flex
48886,0.0866277,0.116803,0.0597409,flex
48889,0.0942529,0.115758,0.0597409,flex
48892,0.0620019,0.115316,0.0597409,flex
48894,0.0546267,0.11526,0.0597409,flex
48897,0.0756273,0.114569,0.0597409,flex
48900,0.0598768,0.114463,0.0597409,flex
48903,0.0596268,0.113748,0.0597409,flex
48905,0.0721272,0.113662,0.0597409,flex
48908,0.0588768,0.113563,0.0597409,flex
48910,0.229507,0.11778,0.0597409,flex
48913,0.264508,0.123261,0.0597409,flex
48916,0.065377,0.123321,0.0597409,flex
48919,0.450514,0.13839,0.0597409,flex
48921,0.0700021,0.137142,0.0597409,flex
48924,0.0940029,0.137508,0.0597409,flex
48926,0.0671271,0.134187,0.0597409,flex
48929,0.143004,0.134893,0.0597409,flex
48932,0.0626269,0.125585,0.0597409,flex
48935,0.0617519,0.125503,0.0597409,flex
48938,0.0588768,0.125472,0.0597409,flex
48941,0.064627,0.125468,0.0597409,flex
48943,0.0728772,0.125616,0.0597409,flex
48946,0.065502,0.125354,0.0597409,flex
48949,0.0627519,0.125148,0.0597409,flex
48952,0.0675021,0.125216,0.0597409,flex
48955,0.0596268,0.124582,0.0597409,flex
48957,0.0605018,0.124147,0.0597409,flex
48960,0.0596268,0.124155,0.0597409,flex
48963,0.0588768,0.124132,0.0597409,flex
48966,0.0607519,0.124145,0.0597409,flex
48968,0.064877,0.124157,0.0597409,flex
48971,0.0605018,0.123707,0.0597409,flex
48974,0.0617519,0.123695,0.0597409,flex
48976,0.0578768,0.122302,0.0597409,flex
48979,0.0613769,0.122019,0.0597409,flex
48981,0.150505,0.122918,0.0597409,flex
48984,0.097753,0.123212,0.0597409,flex
48986,0.120504,0.109034,0.0597409,flex
48989,0.209756,0.112415,0.0597409,flex
48991,0.130504,0.113592,0.0597409,flex
48994,0.0588768,0.113565,0.0597409,flex
48997,0.0592518,0.113552,0.0597409,flex
49000,0.0610019,0.11317,0.0597409,flex
49002,0.0592518,0.113167,0.0597409,flex
49005,0.0596268,0.113117,0.0597409,flex
49008,0.143504,0.114491,0.0597409,flex
49010,0.126754,0.115071,0.0597409,flex
49013,0.0583768,0.114633,0.0597409,flex
49015,0.064002,0.114598,0.0597409,flex
49019,0.0863776,0.114949,0.0597409,flex
49021,0.0670021,0.114686,0.0597409,flex
49024,0.237257,0.118748,0.0597409,flex
49026,0.142504,0.120126,0.0597409,flex
49029,0.100753,0.120722,0.0597409,flex
49031,0.127004,0.121581,0.0597409,flex
49034,0.17138,0.123684,0.0597409,flex
49037,0.17588,0.125878,0.0597409,flex
49039,0.15063,0.127259,0.0597409,flex
49042,0.182506,0.129583,0.0597409,flex
49045,0.0606269,0.125745,0.0597409,flex
49048,0.0586268,0.120338,0.0597409,flex
49051,0.0612519,0.120295,0.0597409,flex
49053,0.0865026,0.102768,0.0597409,flex
49056,0.0713772,0.102787,0.0597409,flex
49059,0.0593768,0.102269,0.0597409,flex
49061,0.0591268,0.10217,0.0597409,flex
49064,0.0585018,0.10049,0.0597409,flex
49067,0.0590018,0.100446,0.0597409,flex
